Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,27.3,27.5,29.4,29.3,28.0,28.5,28.1,28.0,28.2,28.0,28.4,28.9,28.9,28.8,28.7,28.7,28.5,28.4,28.4
Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,35.4,35.5,35.9,35.4,35.8,34.6,34.6,34.7,34.7,34.4,33.9,33.6,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4,33.4
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,35.2,30.2,29.7,28.7,29.7,29.7,29.7,30.5,30.3,30.2,30.4,30.3,29.1,28.8,28.1,27.4,27.3,26.6,25.2,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,8.5,11.7,15.9,19.2,20.8,22.2,22.6,22.6,22.9,23.3,24.2,25.0,25.5,25.4,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6,25.6
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,25.0,25.3,25.6,26.7,26.7,27.7,28.2,28.2,28.1,27.2,26.6,25.6,25.5,25.2,25.2,24.5,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3,24.3
Tim Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.7,22.3,22.3,23.0,23.9,24.2,23.9,23.8,24.1,23.8,23.4,23.3,23.0,22.7,22.3,21.9,21.3,21.2,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6,20.6
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,27.7,28.1,28.6,28.9,28.9,28.8,28.8,28.8,29.1,29.1,29.5,29.4,29.4,29.3,29.3
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,20.8,25.7,26.3,26.1,27.0,27.6,27.3,27.3,27.5,27.3,27.1,26.9,26.6,26.6,26.6,26.5,26.3,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7,24.7
Jerry West,,,,,,,,,,,,,,,22.9,27.4,27.5,28.0,30.5,31.3,30.8,30.8,30.8,30.9,30.9,30.0,29.3,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1
Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,23.3,25.9,25.7,26.2,26.1,26.5,26.5,26.5,26.6,27.0,27.0,26.8
