Player,1947,1948,1949,1950,1951,1952,1956,1957,1958,1960,1961,1962,1964,1967,1968,1969,1971,1972,1973,1975,1976,1977,1987,1989,1991,1992,1994,2007,2013,2014,2015,2016,2017,2018,2019,2022,2023,2025
Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,442,1036,1488,1965,2348,2968,3570,3966,4147
Klay Thompson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182,297,688,1270,1525,1937,2372,2791,3032,3032
Draymond Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,153,441,796,1018,1244,1536,1712,1825,1934
Rick Barry,,,,,,,,,,,,,,521,521,521,521,521,701,1180,1492,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776,1776
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,428,1036,1423,1423,1423,1423
Wilt Chamberlain,,,,,,,,,,299,410,830,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246,1246
Paul Arizin,,,,,41,118,407,416,604,841,908,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186
Jeff Mullins,,,,,,,,,,,,,,265,516,602,684,758,923,1061,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073
Andre Iguodala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,310,523,638,760,966,977,977,977
Nate Thurmond,,,,,,,,,,,,,120,358,358,458,546,673,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833,833
Harrison Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,248,471,687,687,687,687,687,687,687
Chris Mullin,,,,,,,,,,,,,,,,,,,,,,,113,348,538,609,685,685,685,685,685,685,685,685,685,685,685,685
Tom Meschery,,,,,,,,,,,,241,443,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636,636
Jamaal Wilkes,,,,,,,,,,,,,,,,,,,,255,462,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617,617
Shaun Livingston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,301,374,514,603,603,603,603
