"Player",1970,1976,1978,1979,1980,1981,1982,1983,1984,1985,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2003,2005,2006,2007,2008,2010,2021,2022,2023,2024,2026
"Kevin Johnson",,,,,,,,,,,285,625,676,865,1275,1541,1789,1858,1942,1997,1997,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
"Steve Nash",,,,,,,,,,,,,,,,,,,5,27,27,27,27,27,385,792,1000,1081,1365,1365,1365,1365,1365,1365
"Devin Booker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,834,1205,1315,1376
"Walter Davis",,,50,382,548,660,787,865,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288,1288
"Charles Barkley",,,,,,,,,,,,,,,638,914,1171,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273,1273
"Amare Stoudemire",,,,,,,,,,,,,,,,,,,,,,,,85,534,534,787,903,1258,1258,1258,1258,1258,1258
"Dan Majerle",,,,,,,,,,,172,373,415,545,915,1038,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120
"Shawn Marion",,,,,,,,,,,,,,,,,,,,,,82,141,252,516,923,1109,1109,1109,1109,1109,1109,1109,1109
"Alvan Adams",,341,373,527,656,730,848,883,1025,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076
"Paul Westphal",,401,453,789,956,956,956,956,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046,1046
"Tom Chambers",,,,,,,,,,,312,667,735,844,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018
"Deandre Ayton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347,580,714,714,714
"Jeff Hornacek",,,,,,,,,,,169,467,540,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703,703
"Chris Paul",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,612,699,699,699
"Leandro Barbosa",,,,,,,,,,,,,,,,,,,,,,,,,30,313,487,539,654,654,654,654,654,654
"Boris Diaw",,,,,,,,,,,,,,,,,,,,,,,,,,374,440,513,513,513,513,513,513,513
"Mark West",,,,,,,,,,,74,251,274,306,420,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437,437
"Kevin Durant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,426,426
"Mikal Bridges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244,417,417,417,417
"Gar Heard",,265,278,360,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
"Raja Bell",,,,,,,,,,,,,,,,,,,,,,,,,,232,344,412,412,412,412,412,412,412
"Eddie Johnson",,,,,,,,,,,213,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
"Kyle Macy",,,,,,49,144,179,355,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
"Maurice Lucas",,,,,,,,26,321,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
"Larry Nance",,,,,,,54,90,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
"Jae Crowder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237,359,359,359,359
"Cedric Ceballos",,,,,,,,,,,,,16,124,220,321,321,321,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
"Dennis Johnson",,,,,,137,293,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
