Player,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dwight Howard,,,61,250,717,971,1133,1133,1201,1357,1635,1701,1749,1749,1749,1853,1909,1909
Andre Iguodala,49,49,49,128,257,257,314,482,590,682,900,1113,1228,1350,1556,1635,1650,1661
JR Smith,,,18,91,330,397,446,507,664,664,895,1137,1282,1473,1473,1493,,
Trevor Ariza,,,11,28,288,288,381,381,381,531,755,788,906,1055,1055,1055,1074,1074
Josh Smith,,,,110,298,453,634,718,820,820,1049,1065,1065,1065,,,,
Luol Deng,,61,283,283,283,377,647,731,800,800,800,986,986,986,986,,,
Shaun Livingston,,90,90,90,90,90,90,90,90,206,311,507,580,720,809,,,
Tony Allen,19,19,19,39,48,170,284,332,486,572,638,668,668,668,,,,
Jameer Nelson,,,57,219,238,504,583,661,661,661,661,661,661,661,,,,
Ben Gordon,87,213,417,417,587,587,587,587,587,587,587,,,,,,,
Devin Harris,22,238,317,317,317,317,317,369,437,517,541,580,580,580,580,,,
Delonte West,29,29,29,170,363,437,496,526,,,,,,,,,,
Anderson Varejao,,88,207,260,357,420,420,420,420,420,420,440,440,440,440,440,440,
Al Jefferson,43,43,43,43,43,43,43,116,116,172,172,265,265,265,,,,
Kevin Martin,,79,79,79,79,79,79,79,233,233,233,255,,,,,,
Beno Udrih,78,103,105,105,105,105,105,105,105,160,236,236,236,,,,,
Kris Humphries,,,9,9,9,9,9,9,40,40,42,79,79,,,,,
Dorell Wright,,,0,0,0,25,25,25,25,54,54,,,,,,,
Josh Childress,,,,50,50,50,50,50,50,50,,,,,,,,
Emeka Okafor,,,,,,,44,44,44,44,44,44,44,44,,,,
David Harrison,,13,13,13,,,,,,,,,,,,,,
Rafael Araujo,,,11,,,,,,,,,,,,,,,
Luke Jackson,,,6,6,,,,,,,,,,,,,,
Vassilis Spanoulis,,,4,,,,,,,,,,,,,,,
Kirk Snyder,,,2,2,,,,,,,,,,,,,,
