,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
2025,24,6,0,0,,2025,46,13,0,0,,,,,,Matas Buzelis,Chicago Bulls,Ignite (G League),2024,1,11,11,G League,YES,,Kentucky,68,NCAA
2024,22,6,2,0,,2024,43,12,3,0,,,,,,Tyler Smith,Milwaukee Bucks,Ignite (G League),2024,2,3,33,G League,,,Arizona,47,NCAA
2023,25,2,3,0,,2023,46,6,6,0,,,,,,Scoot Henderson,Portland Trail Blazers,Ignite (G League),2023,1,3,3,G League,,,California-Los Angeles,47,NCAA
2022,26,2,2,0,,2022,44,11,3,0,,,,,,Leonard Miller,San Antonio Spurs,Ignite (G League),2023,2,3,33,G League,,,Kansas,46,NCAA
2021,25,3,2,0,,2021,50,7,3,0,,,,,,Sidy Cissoko,San Antonio Spurs,Ignite (G League),2023,2,14,44,G League,,,North Carolina,44,NCAA
2020,24,6,0,0,,2020,49,10,0,1,,,,,,Mojave King,Los Angeles Lakers,Ignite (G League),2023,2,17,47,G League,,,Connecticut,39,NCAA
2019,27,3,0,0,,2019,53,6,1,0,,,,,,Dyson Daniels,New Orleans Pelicans,Ignite (G League),2022,1,8,8,G League,,,Michigan,35,NCAA
2018,27,2,0,1,,2018,52,7,0,1,,,,,,MarJon Beauchamp,Milwaukee Bucks,Ignite (G League),2022,1,24,24,G League,,,Syracuse,30,NCAA
2017,27,3,0,0,,2017,50,10,0,0,,,,,,Jaden Hardy,Sacramento Kings,Ignite (G League),2022,2,7,37,G League,,,Texas,29,NCAA
2016,22,7,0,1,,2016,44,15,0,1,,,,,,Jalen Green,Houston Rockets,Ignite (G League),2021,1,2,2,G League,,,Michigan State,29,NCAA
2015,26,4,0,0,,2015,46,13,0,1,,,,,,Jonathan Kuminga,Golden State Warriors,Ignite (G League),2021,1,7,7,G League,,,Maryland,27,NCAA
2014,23,6,1,0,,2014,45,13,2,0,,,,,,Isaiah Todd,Milwaukee Bucks,Ignite (G League),2021,2,1,31,G League,,,Florida State,26,NCAA
2013,23,7,0,0,,2013,47,13,0,0,,,,,,PJ Hairston,Miami Heat,Texas Legends (D-League),2014,1,26,26,G League,,,Florida,23,NCAA
2012,29,1,0,0,,2012,52,8,0,0,,,,,,Thanasis Antetokounmpo,New York Knicks,Delaware 87ers (D-League),2014,2,21,51,G League,,,Louisiana State,23,NCAA
2011,25,5,0,0,,2011,47,12,1,0,,,,,,Soumaila Samake,New Jersey Nets,Cincinnati Stuff (IBL),2000,2,7,36,G League,,,Louisville,23,NCAA
2010,29,1,0,0,,2010,53,6,1,0,,,,,,DeeAndre Hulett,Toronto Raptors,Las Vegas Silver Bandits (IBL),2000,2,17,46,G League,,,Georgia Tech,23,NCAA
2009,24,6,0,0,,2009,47,13,0,0,,,,,,Amen Thompson,Houston Rockets,Overtime Elite,2023,1,4,4,G League,,,Indiana,22,NCAA
2008,26,4,0,0,,2008,48,11,1,0,,,,,,Ausar Thompson,Detroit Pistons,Overtime Elite,2023,1,5,5,G League,,,Tennessee,20,NCAA
2007,25,5,0,0,,2007,47,13,0,0,,,,,,Alen Smailagic,New Orleans Pelicans,Santa Cruz (G League),2019,2,9,39,G League,,,Stanford,20,NCAA
2006,24,6,0,0,,2006,44,16,0,0,,,,,,Chukwudiebere Maduabum,Los Angeles Lakers,Bakersfield Jam (D-League),2011,2,26,56,G League,,,Southern California,20,NCAA
2005,23,4,0,3,,2005,37,14,0,9,,,,,,Latavious Williams,Miami Heat,Tulsa 66ers (D-League),2010,2,18,48,G League,,,Alabama,20,NCAA
2004,15,6,0,8,,2004,37,14,0,8,,,,,,Mike Taylor,Portland Trail Blazers,Idaho Stampede (D-League),2008,2,25,55,G League,,,Villanova,20,NCAA
2003,17,8,0,4,,2003,33,20,0,5,,,,,,KJ Martin,Sacramento Kings,IMG Academy,2020,2,22,52,HS,,,Memphis,20,NCAA
2002,21,6,0,1,,2002,42,14,0,1,,,,,,Anfernee Simons,Portland Trail Blazers,IMG Academy,2018,1,24,24,HS,,,Washington,20,NCAA
2001,20,4,0,4,,2001,45,7,0,5,,,,,,Thon Maker,Milwaukee Bucks,Orangeville Prep,2016,1,10,10,HS,,,Gonzaga,19,NCAA
2000,23,4,0,2,,2000,46,8,2,2,,,,,,Satnam Singh,Dallas Mavericks,IMG Academy,2015,2,22,52,HS,,,Ohio State,19,NCAA
1999,25,2,0,2,,1999,51,5,0,2,,,,,,Martell Webster,Portland Trail Blazers,Seattle Preparatory School,2005,1,6,6,HS,,,Illinois,18,NCAA
1998,24,4,0,1,,1998,50,5,0,3,,,,,,Andrew Bynum,Los Angeles Lakers,Saint Joseph,2005,1,10,10,HS,,,Arkansas,18,NCAA
1997,26,1,0,1,,1997,50,6,0,1,,,,,,Gerald Green,Boston Celtics,Gulf Shores Academy,2005,1,18,18,HS,,,Baylor,17,NCAA
1996,22,5,0,2,,1996,51,5,0,2,,,,,,CJ Miles,Utah Jazz,Skyline,2005,2,4,34,HS,,,Oklahoma,17,NCAA
1995,28,0,0,1,,1995,54,3,0,1,,,,,,Monta Ellis,Golden State Warriors,Lanier,2005,2,10,40,HS,,,Georgetown,17,NCAA
1994,27,0,0,0,,1994,52,2,0,0,,,,,,Lou Williams,Philadelphia 76ers,South Gwinnett,2005,2,15,45,HS,,,California,17,NCAA
1993,27,0,0,0,,1993,52,2,0,0,,,,,,Andray Blatche,Washington Wizards,South Kent School,2005,2,19,49,HS,,,Miami (FL),17,NCAA
1992,27,0,0,0,,1992,53,1,0,0,,,,,,Amir Johnson,Detroit Pistons,Westchester,2005,2,26,56,HS,,,Oregon,17,NCAA
1991,27,0,0,0,,1991,53,1,0,0,,,,,,Ricky Sanchez,Portland Trail Blazers,IMG Academy,2005,2,5,35,HS,,,Georgia,16,NCAA
1990,27,0,0,0,,1990,52,2,0,0,,,,,,Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1,1,HS,,,Marquette,16,NCAA
1989,26,0,0,0,,1989,52,1,0,0,,,,,,Shaun Livingston,Los Angeles Clippers,Peoria,2004,1,4,4,HS,,,Providence,16,NCAA
,,,,,,,,,,,,,,,,Robert Swift,Seattle SuperSonics,Bakersfield,2004,1,12,12,HS,,,Virginia,16,NCAA
,,,,,,,,,,,,,,,,Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,2004,1,13,13,HS,,,Iowa,16,NCAA
,,,,,,,,,,,,,,,,Al Jefferson,Boston Celtics,Prentiss,2004,1,15,15,HS,,,Missouri,16,NCAA
,,,,,,,,,,,,,,,,Josh Smith,Atlanta Hawks,Oak Hill Academy,2004,1,17,17,HS,,,Purdue,15,NCAA
,,,,,,,,,,,,,,,,JR Smith,New Orleans Hornets,Saint Benedict's Preparatory School,2004,1,18,18,HS,,,Colorado,15,NCAA
,,,,,,,,,,,,,,,,Dorell Wright,Miami Heat,South Kent School,2004,1,19,19,HS,,,Oklahoma State,15,NCAA
,,,,,,,,,,,,,,,,LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1,1,HS,,,Iowa State,15,NCAA
,,,,,,,,,,,,,,,,Travis Outlaw,Portland Trail Blazers,Starkville,2003,1,23,23,HS,,,Cincinnati,15,NCAA
,,,,,,,,,,,,,,,,Ndudi Ebi,Minnesota Timberwolves,Westbury Christian School,2003,1,26,26,HS,,,FC Barcelona Basquet (Spain),14,Inter
,,,,,,,,,,,,,,,,Kendrick Perkins,Memphis Grizzlies,Clifton J. Ozen,2003,1,27,27,HS,,,Xavier,13,NCAA
,,,,,,,,,,,,,,,,James Lang,New Orleans Hornets,Central Park Christian,2003,2,19,48,HS,,,Vanderbilt,13,NCAA
,,,,,,,,,,,,,,,,Amar'e Stoudemire,Phoenix Suns,Cypress Creek,2002,1,9,9,HS,,,North Carolina State,13,NCAA
,,,,,,,,,,,,,,,,Kwame Brown,Washington Wizards,Glynn Academy,2001,1,1,1,HS,,,Nevada-Las Vegas,13,NCAA
,,,,,,,,,,,,,,,,Tyson Chandler,Los Angeles Clippers,Dominguez,2001,1,2,2,HS,,,KK Mega Leks (Serbia),13,Inter
,,,,,,,,,,,,,,,,Eddy Curry,Chicago Bulls,Thornwood,2001,1,4,4,HS,,,Ignite (G League),13,G League
,,,,,,,,,,,,,,,,DeSagana Diop,Cleveland Cavaliers,Oak Hill Academy,2001,1,8,8,HS,,,KK Partizan (Serbia),13,Inter
,,,,,,,,,,,,,,,,Ousmane Cisse,Denver Nuggets,St. Jude Educational Institute,2001,2,18,46,HS,,,Minnesota,12,NCAA
,,,,,,,,,,,,,,,,Darius Miles,Los Angeles Clippers,East St. Louis,2000,1,3,3,HS,,,Wake Forest,12,NCAA
,,,,,,,,,,,,,,,,DeShawn Stevenson,Utah Jazz,Washington Union,2000,1,23,23,HS,,,Auburn,11,NCAA
,,,,,,,,,,,,,,,,Jonathan Bender,Toronto Raptors,Picayune Memorial,1999,1,5,5,HS,,,Pittsburgh,11,NCAA
,,,,,,,,,,,,,,,,Leon Smith,San Antonio Spurs,Martin Luther King,1999,1,29,29,HS,,,Boston College,11,NCAA
,,,,,,,,,,,,,,,,Al Harrington,Indiana Pacers,Saint Patrick,1998,1,25,25,HS,,,Arizona State,11,NCAA
,,,,,,,,,,,,,,,,Rashard Lewis,Seattle SuperSonics,Elsik,1998,2,3,32,HS,,,Notre Dame,11,NCAA
,,,,,,,,,,,,,,,,Korleone Young,Detroit Pistons,Hargrave Military Academy,1998,2,11,40,HS,,,St. John's (NY),11,NCAA
,,,,,,,,,,,,,,,,Tracy McGrady,Toronto Raptors,Mount Zion Christian Academy,1997,1,9,9,HS,,,Wisconsin,10,NCAA
,,,,,,,,,,,,,,,,Kobe Bryant,Charlotte Hornets,Lower Merion,1996,1,13,13,HS,,,Clemson,10,NCAA
,,,,,,,,,,,,,,,,Jermaine O'Neal,Portland Trail Blazers,Eau Claire,1996,1,17,17,HS,,,Mississippi State,10,NCAA
,,,,,,,,,,,,,,,,Kevin Garnett,Minnesota Timberwolves,Farragut Career Academy,1995,1,5,5,HS,,,Utah,10,NCAA
,,,,,,,,,,,,,,,,Yang Hansen,Memphis Grizzlies,Qingdao (China),2025,1,16,16,Inter,YES,,Fresno State,10,NCAA
,,,,,,,,,,,,,,,,Joan Beringer,Minnesota Timberwolves,Cedevita Olimpija (Slovenia),2025,1,17,17,Inter,YES,,Creighton,9,NCAA
,,,,,,,,,,,,,,,,Rocco Zikarsky,Chicago Bulls,Brisbane (Australia),2025,2,15,45,Inter,,,Houston,9,NCAA
,,,,,,,,,,,,,,,,Alex Toohey,Phoenix Suns,Sydney (Australia),2025,2,22,52,Inter,,,Temple,9,NCAA
,,,,,,,,,,,,,,,,Saliou Niang,Cleveland Cavaliers,Trento (Italy),2025,2,28,58,Inter,,,KK Olimpija (Slovenia),9,Inter
