Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.937,24.082,26.5,26.706,27.338,27.528,27.83,27.691,27.642,27.557,27.518,27.347,27.186,27.132,27.155,27.164,27.068,26.998,27.132,27.201,27.127,27.006,26.782
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,28.793,30.226,31.751,31.374,30.502,30.43,30.029,29.537,29.203,28.643,28.275,28.096,27.782,27.349,26.946,26.631,26.437,25.942,25.329,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607,24.607
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.852,18.294,21.429,23.311,24.855,25.558,25.912,26.054,25.954,26.026,25.994,26.114,26.185,26.077,26.041,25.859,25.652,25.365,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019,25.019
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.592,11.727,13.775,15.94,18.497,19.8,21.488,21.774,22.383,23.856,24.612,24.964,25.127,25.26,25.266,25.395,25.518,25.462,25.377,24.995,24.995,24.995,24.995,24.995,24.995,24.995,24.995,24.995,24.995,24.995
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,22.695,25.284,25.885,26.258,26.59,27.4,27.306,27.404,27.199,27.125,27.02,27.02,27.017,27.184,27.174,27.168,27.134,27.056
Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.207,27.21,31.659,32.689,32.646,32.824,32.605,32.258,32.295,32.295,32.161,31.97,31.745,31.481,31.481,31.481,31.481,30.962,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123,30.123
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.191,14.109,17.081,18.756,20.147,20.437,21.276,21.985,22.28,22.414,22.746,22.947,22.953,22.876,22.609,22.547,22.228,22.008,21.707,21.201,20.736,20.736,20.736,20.736,20.736,20.736,20.736,20.736
Wilt Chamberlain,,,,,,,,,,,,,,37.597,38.013,42.29,42.942,41.696,40.744,39.616,37.478,35.859,34.203,34.095,32.79,31.195,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731,29.731
James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.908,11.082,12.705,16.168,17.976,19.659,21.09,22.143,23.012,24.349,25.164,25.161,25.06,24.802,24.204,24.101,24.07
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.37,26.358,27.324,27.183,27.038,27.227,27.127,27.504,27.651,27.606,27.594,27.088,26.738,26.317,25.947,25.586,25.045,24.437,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957,23.957
Carmelo Anthony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.037,20.911,22.806,24.126,24.443,24.198,24.73,24.81,24.609,25.018,25.269,25.212,24.927,24.727,24.062,23.957,23.495,22.884,22.339,22.339,22.339,22.339,22.339
Moses Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,18.754,22.203,23.529,24.643,26.0,25.741,25.333,25.235,25.077,24.982,24.545,24.164,23.736,22.742,22.239,22.074,21.327,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076,21.076
