"Player",1976,1977,1978,1985,1988,1989,1990,1992,1993,1994,1995,1996,1998,2006,2007,2008,2009,2010,2015,2016,2017,2018,2023,2024,2025,2026
"LeBron James",,,,,,,,,,,,,,400,901,1267,1761,2081,2682,3234,3825,4573,4573,4573,4573,4573
"Kyrie Irving",,,,,,,,,,,,,,,,,,,247,777,1243,1243,1243,1243,1243,1243
"Kevin Love",,,,,,,,,,,,,,,,,,,57,350,653,966,966,966,966,966
"Mark Price",,,,,105,169,269,596,713,758,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818,818
"JR Smith",,,,,,,,,,,,,,,,,,,231,473,618,809,809,809,809,809
"Zydrunas Ilgauskas",,,,,,,,,,,,,69,204,455,625,772,784,784,784,784,784,784,784,784,784
"Brad Daugherty",,,,,79,134,248,614,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782,782
"Donovan Mitchell",,,,,,,,,,,,,,,,,,,,,,,116,412,678,1011
"Larry Nance",,,,,84,181,242,548,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693,693
"Tristan Thompson",,,,,,,,,,,,,,,,,,,192,332,480,598,598,613,620,620
"Hot Rod Williams",,,,,46,101,196,451,532,532,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559,559
"Craig Ehlo",,,,,44,92,161,324,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422,422
"Anderson Varejao",,,,,,,,,,,,,,88,207,260,357,420,420,420,420,420,420,420,420,420
"Evan Mobley",,,,,,,,,,,,,,,,,,,,,,,49,241,378,595
"Delonte West",,,,,,,,,,,,,,,,141,334,408,408,408,408,408,408,408,408,408
"Maurice Williams",,,,,,,,,,,,,,,,,228,386,386,406,406,406,406,406,406,406
"Darius Garland",,,,,,,,,,,,,,,,,,,,,,,103,291,381,381
"Drew Gooden",,,,,,,,,,,,,,107,335,335,335,335,335,335,335,335,335,335,335,335
"Iman Shumpert",,,,,,,,,,,,,,,,,,,181,251,325,325,325,325,325,325
"Daniel Gibson",,,,,,,,,,,,,,,165,264,311,318,318,318,318,318,318,318,318,318
"Larry Hughes",,,,,,,,,,,,,,100,304,304,304,304,304,304,304,304,304,304,304,304
"Kyle Korver",,,,,,,,,,,,,,,,,,,,,105,287,287,287,287,287
"Campy Russell",177,230,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285,285
"Mike Sanders",,,,,64,97,97,227,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
"Jarrett Allen",,,,,,,,,,,,,,,,,,,,,,,47,115,236,256
"Max Strus",,,,,,,,,,,,,,,,,,,,,,,,114,219,249
"Aleksandar Pavlovic",,,,,,,,,,,,,,0,183,211,234,234,234,234,234,234,234,234,234,234
"Timofey Mozgov",,,,,,,,,,,,,,,,,,,212,227,227,227,227,227,227,227
"Matthew Dellavedova",,,,,,,,,,,,,,,,,,,143,221,221,221,221,221,221,221
"Austin Carr",154,177,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
"Channing Frye",,,,,,,,,,,,,,,,,,,,114,202,202,202,202,202,202
"Bingo Smith",164,185,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
"Donyell Marshall",,,,,,,,,,,,,,123,190,190,190,190,190,190,190,190,190,190,190,190
"Caris LeVert",,,,,,,,,,,,,,,,,,,,,,,75,186,186,186
"Wally Szczerbiak",,,,,,,,,,,,,,,,140,183,183,183,183,183,183,183,183,183,183
"Terrell Brandon",,,,,,,,47,98,124,124,182,182,182,182,182,182,182,182,182,182,182,182,182,182,182
"Jim Cleamons",179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
"George Hill",,,,,,,,,,,,,,,,,,,,,,175,175,175,175,175
"Jim Chones",105,144,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
"Dick Snyder",156,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
"Jeff Green",,,,,,,,,,,,,,,,,,,,,,170,170,170,170,170
"Ron Harper",,,,,71,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
"Richard Jefferson",,,,,,,,,,,,,,,,,,,,114,169,169,169,169,169,169
"Antawn Jamison",,,,,,,,,,,,,,,,,,168,168,168,168,168,168,168,168,168
"Joe Smith",,,,,,,,,,,,,,,,86,158,158,158,158,158,158,158,158,158,158
"Gerald Wilkins",,,,,,,,,93,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154,154
"Isaac Okoro",,,,,,,,,,,,,,,,,,,,,,,32,98,139,139
"Jim Brewer",114,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137,137
"Chris Mills",,,,,,,,,,51,104,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
"Shaquille O'Neal",,,,,,,,,,,,,,,,,,127,127,127,127,127,127,127,127,127
"Danny Ferry",,,,,,,,19,58,58,96,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
"Bobby Phills",,,,,,,,11,15,35,92,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121
"Eric Snow",,,,,,,,,,,,,,86,118,118,118,118,118,118,118,118,118,118,118,118
"Ronald Murray",,,,,,,,,,,,,,105,105,105,105,105,105,105,105,105,105,105,105,105
"World B. Free",,,,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
"Ty Jerome",,,,,,,,,,,,,,,,,,,,,,,,,105,105
"Shawn Kemp",,,,,,,,,,,,,104,104,104,104,104,104,104,104,104,104,104,104,104,104
"Foots Walker",30,77,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102
"Tyrone Hill",,,,,,,,,,42,76,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101
"Larry Nance Jr",,,,,,,,,,,,,,,,,,,,,,96,96,96,96,96
"James Jones",,,,,,,,,,,,,,,,,,,87,93,95,95,95,95,95,95
"John Battle",,,,,,,,89,89,91,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
"Rodney Hood",,,,,,,,,,,,,,,,,,,,,,91,91,91,91,91
"Sam Merrill",,,,,,,,,,,,,,,,,,,,,,,,33,79,91
"Anthony Parker",,,,,,,,,,,,,,,,,,91,91,91,91,91,91,91,91,91
"Jordan Clarkson",,,,,,,,,,,,,,,,,,,,,,90,90,90,90,90
"De'Andre Hunter",,,,,,,,,,,,,,,,,,,,,,,,,88,88
"Nate Thurmond",87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87
"Deron Williams",,,,,,,,,,,,,,,,,,,,,78,78,78,78,78,78
"Roy Hinson",,,,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67
"Elmore Smith",,41,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
"Phil Hubbard",,,,62,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
"Ben Wallace",,,,,,,,,,,,,,,,41,57,57,57,57,57,57,57,57,57,57
"Damon Jones",,,,,,,,,,,,,,24,50,56,56,56,56,56,56,56,56,56,56,56
"Marcus Morris",,,,,,,,,,,,,,,,,,,,,,,,55,55,55
"Steve Kerr",,,,,,,8,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
"John Bagley",,,,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
"Dan Majerle",,,,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"James Harden",,,,,,,,,,,,,,,,,,,,,,,,,,50
"Winston Bennett",,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
"Lonnie Shelton",,,,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
"Cedi Osman",,,,,,,,,,,,,,,,,,,,,,14,44,44,44,44
"Derek Anderson",,,,,,,,,,,,,43,43,43,43,43,43,43,43,43,43,43,43,43,43
"JJ Hickson",,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39,39,39
"Jamario Moon",,,,,,,,,,,,,,,,,,38,38,38,38,38,38,38,38,38
"Dean Wade",,,,,,,,,,,,,,,,,,,,,,,2,13,28,36
"Michael Cage",,,,,,,,,,,16,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
"Devin Brown",,,,,,,,,,,,,,,,33,33,33,33,33,33,33,33,33,33,33
"Dahntay Jones",,,,,,,,,,,,,,,,,,,,17,33,33,33,33,33,33
"Terry Furlow",,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
"Wesley Person",,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32,32,32
"Ben Poquette",,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Cedric Henderson (1975)",,,,,,,,,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30
"Jaylon Tyson",,,,,,,,,,,,,,,,,,,,,,,,,24,29
"Johnny Davis (1955)",,,,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
"Georges Niang",,,,,,,,,,,,,,,,,,,,,,,,28,28,28
"Tim Kempton",,,,,,,,,,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
"Edgar Jones",,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Mel Turpin",,,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
"Jose Calderon",,,,,,,,,,,,,,,,,,,,,,24,24,24,24,24
