Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Wilt Chamberlain (1960-1964),0,0,0,0,0,0,0,0,0,0,0,0,0,3006,6150,10599,14185,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549,17549
Michael Jordan (1988-1992),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3231,6455,9795,12904,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067,16067
Kobe Bryant (2006-2010),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3027,5621,8577,11473,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114,14114
Kareem Abdul-Jabbar (1970-1974),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2713,5681,8819,11248,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954,13954
James Harden (2016-2020),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509,5178,7855,11021,13711,13711,13711,13711,13711,13711,13711
LeBron James (2006-2010),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2878,5511,8127,10925,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503,13503
Kevin Durant (2010-2014),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2622,5270,7690,10309,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465,13465
Larry Bird (1984-1988),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2540,5355,7936,10634,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326,13326
George Gervin (1978-1982),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2431,5196,7881,10292,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108,13108
Karl Malone (1988-1992),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595,5013,7679,10328,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065,13065
Elgin Baylor (1960-1964),0,0,0,0,0,0,0,0,0,0,0,0,0,2375,5370,7708,10851,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955,12955
Oscar Robertson (1962-1966),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2547,5192,7965,10356,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893,12893
Alex English (1983-1987),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507,4819,7504,10191,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592,12592
Jerry West (1962-1966),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2719,4570,6790,9529,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484,12484
Dominique Wilkins (1985-1989),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2217,4840,7375,10146,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381,12381
Bob McAdoo (1974-1978),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2451,5544,8223,10084,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324,12324
Hakeem Olajuwon (1993-1997),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2448,5296,8026,10141,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321,12321
Bob Pettit (1960-1964),0,0,0,0,0,0,0,0,0,0,0,0,0,2247,4710,7139,9730,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172
Shaquille O'Neal (2000-2004),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3051,5663,8026,10191,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103,12103
Stephen Curry (2015-2019),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494,5321,7797,9526,12027,12027,12027,12027,12027,12027,12027,12027
Moses Malone (1979-1983),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2080,4380,7164,9756,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002,12002
Patrick Ewing (1990-1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2641,4845,7087,9428,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914,11914
Jayson Tatum (2021-2025),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,4506,7274,9736,11893,11893
Nikola Jokic (2021-2025),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2196,4355,6645,9074,11512,11512
Luka Doncic (2020-2024),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1945,4025,6347,8485,11490,11490,11490
