Player,1992,1994,1996,1997,1998,1999,2000,2001,2004,2005,2006,2007,2009,2010,2011,2012,2013,2014,2016,2018,2020,2021,2022,2023,2024,2025
Dwyane Wade,,,,,,,,,234,618,1272,1366,1570,1736,2251,2776,3125,3481,3781,3864,3864,3864,3864,3864,3864,3864
LeBron James,,,,,,,,,,,,,,,497,1194,1790,2338,2338,2338,2338,2338,2338,2338,2338,2338
Jimmy Butler,,,,,,,,,,,,,,,,,,,,,467,525,991,1583,1583,1583
Bam Adebayo,,,,,,,,,,,,,,,,,,,,17,355,417,683,1095,1208,1278
Chris Bosh,,,,,,,,,,,,,,,390,586,865,1163,1163,1163,1163,1163,1163,1163,1163,1163
Alonzo Mourning,,,54,357,434,542,758,793,793,884,964,989,989,989,989,989,989,989,989,989,989,989,989,989,989,989
Mario Chalmers,,,,,,,,,,,,,51,105,268,528,744,872,872,872,872,872,872,872,872,872
Udonis Haslem,,,,,,,,,47,185,374,404,463,493,556,662,772,812,833,833,833,833,833,833,833,833
Shaquille O'Neal,,,,,,,,,,252,676,751,751,751,751,751,751,751,751,751,751,751,751,751,751,751
Tyler Herro,,,,,,,,,,,,,,,,,,,,,335,372,561,573,657,728
Goran Dragic,,,,,,,,,,,,,,,,,,,231,324,648,712,712,712,712,712
Tim Hardaway,,,53,371,501,546,600,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605,605
Duncan Robinson,,,,,,,,,,,,,,,,,,,,,245,286,359,566,579,596
Eddie Jones,,,,,,,,57,229,434,434,444,444,444,444,444,444,444,444,444,444,444,444,444,444,444
Jamal Mashburn,,,,178,209,259,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
Gabe Vincent,,,,,,,,,,,,,,,,,,,,,0,5,149,428,428,428
Caleb Martin,,,,,,,,,,,,,,,,,,,,,,,76,367,425,425
Ray Allen,,,,,,,,,,,,,,,,,234,419,419,419,419,419,419,419,419,419
Max Strus,,,,,,,,,,,,,,,,,,,,,,0,196,411,411,411
Antoine Walker,,,,,,,,,,,307,354,354,354,354,354,354,354,354,354,354,354,354,354,354,354
Voshon Lenard,,,,194,266,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303,303
Shane Battier,,,,,,,,,,,,,,,,161,264,301,301,301,301,301,301,301,301,301
PJ Brown,,,,122,168,219,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294
Kyle Lowry,,,,,,,,,,,,,,,,,,,,,,,78,290,290,290
Dan Majerle,,,,136,145,165,255,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
James Jones,,,,,,,,,,,,,67,69,147,198,207,260,260,260,260,260,260,260,260,260
Norris Cole,,,,,,,,,,,,,,,,34,163,255,255,255,255,255,255,255,255,255
Jae Crowder,,,,,,,,,,,,,,,,,,,,,252,252,252,252,252,252
Jason Williams,,,,,,,,,,,214,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237
Mike Miller,,,,,,,,,,,,,,,47,167,225,225,225,225,225,225,225,225,225,225
Chris Andersen,,,,,,,,,,,,,,,,,128,220,220,220,220,220,220,220,220,220
Lamar Odom,,,,,,,,,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219
Kelly Olynyk,,,,,,,,,,,,,,,,,,,,64,194,194,194,194,194,194
