"Player",1947,1948,1949,1950,1951,1952,1953,1954,1955,1959,1967,1968,1969,1970,1971,1972,1973,1974,1975,1978,1981,1983,1984,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2004,2011,2012,2013,2021,2023,2024,2025,2026
"Patrick Ewing",,,,,,,,,,,,,,,,,,,,,,,,75,254,548,598,870,1252,1799,2008,2180,2383,2439,2583,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787,2787
"Walt Frazier",,,,,,,,,,,,38,250,554,825,1213,1586,1856,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927
"Jalen Brunson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,727,1257,1633
"Willis Reed",,,,,,,,,,,110,238,495,921,1109,1109,1321,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
"John Starks",,,,,,,,,,,,,,,,,,,,,,,,,,,6,151,398,762,934,1062,1188,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352,1352
"Dave DeBusschere",,,,,,,,,,,,,163,468,665,931,1196,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
"Bill Bradley",,,,,,,,,,,,33,193,428,554,813,1051,1202,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222,1222
"Charles Oakley",,,,,,,,,,,,,,,,,,,,,,,,,87,208,231,295,461,790,934,1039,1137,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218,1218
"Allan Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,384,754,1035,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139
"Dick Barnett",,,,,,,,,,,,143,310,631,865,916,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922,922
"Latrell Sprewell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407,706,798,798,798,798,798,798,798,798,798,798
"Earl Monroe",,,,,,,,,,,,,,,,197,455,664,706,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765,765
"Harry Gallatin",,,72,137,302,453,569,623,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678
"Larry Johnson (1969)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,267,496,676,676,676,676,676,676,676,676,676,676,676
"Anthony Mason",,,,,,,,,,,,,,,,,,,,,,,,,,,,60,247,436,541,642,642,642,642,642,642,642,642,642,642,642,642,642,642,642
"Josh Hart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,303,511,671
"Connie Simmons",,,,42,194,416,561,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606,606
