Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LeBron James,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,1759,2707,3556,4404,5228,5988,6714,7262,7851,8437,9092,9771,10379,11102,11639,12299,12700,13281,13891,14475,15094,15442
Kobe Bryant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,768,1185,1814,2623,3471,4527,5189,5940,7135,8079,8994,9906,10759,11658,12420,13277,13319,13766,14481,14481,14481,14481,14481,14481,14481,14481,14481,14481,14481
John Havlicek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,1497,2347,3145,4001,4886,5903,6752,7842,8902,9840,10657,11426,12043,12746,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417,13417
Elvin Hayes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,2258,3525,4611,5505,6443,7372,8104,8860,9633,10390,11306,12018,12599,13065,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296,13296
Karl Malone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512,1206,1998,2748,3461,4222,4940,5586,6366,7084,7815,8522,9214,9618,10342,11017,11781,12475,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682,12682
Dirk Nowitzki,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,803,1459,2117,2916,3621,4403,5216,5884,6568,7410,8186,8755,9316,9701,10341,10916,11530,11912,12324,12565,12565,12565,12565,12565,12565,12565,12565
Carmelo Anthony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,1541,2357,3119,3872,4544,5358,6177,6761,7581,8481,8929,9669,10456,11152,11224,11670,12120,12524,12524,12524,12524,12524
Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659,1334,2110,2798,3660,4105,4949,5737,6854,7784,8627,9304,9998,10683,11242,11604,12062,12507
Kareem Abdul-Jabbar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,1652,2512,3302,4113,4885,5699,6344,6886,7456,8004,8625,9173,9679,10201,10685,11268,11701,12124,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470
Michael Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,788,966,2147,3076,3905,4835,5682,6557,7568,7568,7806,8740,9712,10724,10724,10724,10724,11497,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345
Vince Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,1329,2223,2971,3376,4225,5070,5935,6807,7507,8264,8845,9347,9666,10149,10630,10901,11111,11408,11577,11849,12046,12046,12046,12046,12046,12046,12046
Dominique Wilkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,1364,2402,3411,4370,5418,6360,7222,8092,8582,9425,10315,10988,10988,11544,11544,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626,11626
Elgin Baylor,0,0,0,0,0,0,0,0,0,0,0,0,877,1903,3138,4046,5290,6312,7452,8071,9018,9970,10872,11412,11423,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478,11478
Allen Iverson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,1637,2258,3262,4313,5317,6453,7143,8190,9197,9929,10773,11259,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439,11439
Kevin Durant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,1508,2382,3209,3863,4565,5404,5633,6316,6791,7383,8045,8045,8324,8861,9240,9925,10457,10969
James Harden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,731,1051,1803,2459,3282,4189,5048,5846,6912,7754,8146,8731,9202,9672,10436,10944
Wilt Chamberlain,0,0,0,0,0,0,0,0,0,0,0,0,0,1246,2452,4014,5321,6415,7435,8351,8716,9274,9732,9830,10388,10656,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816,10816
Paul Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,976,1802,2693,3622,4517,5184,5957,6434,7023,7664,8122,8636,9132,9748,10139,10502,10755,10797,10797,10797,10797,10797,10797,10797,10797,10797,10797
DeMar DeRozan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,872,1394,2077,2880,3461,4224,5048,5816,6498,6990,7455,8216,8862,9567,10251,10675
Kevin Garnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,374,925,1583,2069,2836,3607,4349,5087,5894,6571,7136,7839,8295,8642,9012,9400,9786,10214,10413,10576,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637,10637
Ray Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,1270,1640,2409,3090,3708,4473,5043,5897,6716,7364,7911,8452,8961,9459,9726,10085,10388,10388,10388,10388,10388,10388,10388,10388,10388,10388,10388,10388,10388
Alex English,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,435,974,1534,2321,3019,3917,4724,5597,6534,7490,8351,9308,9966,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378,10378
Hal Greer,0,0,0,0,0,0,0,0,0,0,0,0,371,798,1556,2354,3047,3943,4649,5526,6351,7200,8063,8909,9689,10166,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307,10307
