Player,1977,1978,1979,1980,1981,1982,1983,1985,1986,1988,1990,1991,1992,1993,1994,1995,1996,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2026
Tim Duncan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,581,581,898,1146,1739,1960,2502,2838,3282,3625,3724,3914,3990,4233,4614,4988,5113,5172,5172,5172,5172,5172
Tony Parker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,507,691,1087,1361,1776,2157,2300,2473,2591,2873,3305,3705,3781,3885,4012,4045,4045,4045
Manu Ginobili,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,356,835,1074,1407,1710,1710,1904,2007,2208,2450,2780,2836,2903,3009,3054,3054,3054
David Robinson,0,0,0,0,0,0,0,0,0,0,243,346,346,577,657,1037,1273,1448,1713,1807,2023,2041,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221
George Gervin,50,249,649,749,939,1204,1481,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
Kawhi Leonard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,405,733,875,1100,1432,1432,1432,1432
Sean Elliott,0,0,0,0,0,0,0,0,0,0,127,186,245,403,403,663,818,818,1021,1061,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118,1118
Avery Johnson,0,0,0,0,0,0,0,0,0,0,0,2,2,84,84,302,425,581,796,844,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920
Danny Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,108,341,554,612,698,822,843,843,843
Bruce Bowen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,234,294,426,506,636,740,761,761,761,761,761,761,761,761,761,761,761,761
LaMarcus Aldridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,483,601,741,741
Mike Mitchell,0,0,0,0,0,223,453,562,609,640,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646,646
Patrick Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,27,195,266,332,497,564,601,601
Terry Cummings,0,0,0,0,0,0,0,0,0,0,249,308,386,453,485,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543,543
Michael Finley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,361,475,515,515,515,515,515,515,515,515,515,515,515,515
Malik Rose,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,56,77,141,270,492,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502
Boris Diaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,152,363,444,491,491,491,491,491
Mark Olberding,13,76,187,216,354,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486
Johnny Moore,0,0,0,0,42,136,383,449,449,449,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
Larry Kenon,34,140,435,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
Vinny Del Negro,0,0,0,0,0,0,0,0,0,0,0,0,0,40,69,200,343,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
Robert Horry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,275,330,407,430,430,430,430,430,430,430,430,430,430,430,430,430
Willie Anderson,0,0,0,0,0,0,0,0,0,0,205,281,281,376,409,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429
Stephen Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,307,307,307,307,307,307,307,307,423,423,423,423,423,423,423,423,423
Tiago Splitter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,96,212,385,409,409,409,409,409,409
James Silas,0,7,274,317,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
Brent Barry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,242,301,384,384,384,384,384,384,384,384,384,384,384,384,384
Antonio Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,56,232,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327,327
Artis Gilmore,0,0,0,0,0,0,184,273,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
Gary Neal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,151,294,294,294,294,294,294,294,294
Matt Bonner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,26,76,114,145,226,253,259,259,259,259,259,259
Chuck Person,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,196,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248,248
Gene Banks,0,0,0,0,0,64,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239,239
Jaren Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,232,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234,234
Marco Belinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,190,190,190,190,231,231
Rod Strickland,0,0,0,0,0,0,0,0,0,0,123,198,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
George Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,157,227,227,227,227,227,227,227,227,227,227
Stephon Castle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
Billy Paultz,34,103,185,185,185,185,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
De'Aaron Fox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207
