Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,901,1267,1761,2081,2578,3275,3871,4419,5020,5572,6163,6911,6911,7491,7631,7631,8023,8162,8289,8521
Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,248,355,718,1309,1896,2425,3184,3850,3850,4165,4717,5307,5987,5987,5987,5987,5987,5987,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,352,724,1040,1177,1692,1692,1692,2073,2154,2382,2861,2941,3226,3632,4134,4550,4912,5257,5595,5762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,170,328,793,1264,1770,2155,2694,2694,2889,3053,3686,4381,5052,5280,5640,5640,5640,5640,5640,,,,,,,,,,
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,601,911,1153,1549,1762,2469,2956,3497,3821,4294,4546,4970,5045,5121,5121,5248,5250,,,,,,,,,,,,,,,
Tim Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,581,581,898,1146,1739,1960,2502,2838,3282,3625,3724,3914,3990,4233,4614,4988,5113,5172,,,,,,,,,,
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,637,1207,1546,2109,2109,2620,3048,3656,4043,4043,4454,4559,4878,4985,4985,5008
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,187,514,606,732,999,1464,1584,2018,2169,2646,3165,3691,3931,4203,4341,4421,4519,4761,,,,,,,,,,,,,,,,,,,,,,
Jerry West,,,,,,,,,,,,,,,275,684,1046,1202,1649,2128,2128,2590,3146,3708,3708,4052,4453,4457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,267,593,751,912,1374,1507,1820,2306,2654,3009,3191,3414,3637,3764,3895,4176
Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,442,1036,1488,1965,2348,2968,2968,2968,3570,3966,3966,4147,4147
Tony Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,507,691,1087,1361,1776,2157,2300,2473,2591,2873,3305,3705,3781,3885,4012,4045,4045,,,,,,,
Dwyane Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,618,1272,1366,1366,1570,1736,2251,2776,3125,3481,3481,3781,3871,3954,3954,,,,,,,
Larry Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,565,779,902,1534,2054,2520,3142,3559,3559,3681,3852,3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Havlicek,,,,,,,,,,,,,,,,,130,287,509,910,1157,1650,2108,2108,2108,2409,2694,3181,3413,3611,3776,3776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hakeem Olajuwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,643,935,1085,1186,1260,1326,1326,1634,2298,3023,3202,3572,3674,3727,3727,3727,3755,,,,,,,,,,,,,,,,,,,,,,,,
Magic Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,344,587,855,1237,1570,1872,2264,2741,2999,3226,3640,3640,3640,3640,3640,3701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,461,891,1024,1332,1952,2070,2204,2472,2632,3214,3321,3321,3455,3561,3663,3663,3663,3663,,,,,,,
Scottie Pippen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,322,611,979,1407,1788,2016,2194,2499,2864,3217,3290,3529,3570,3619,3642,3642,,,,,,,,,,,,,,,,,,,,,,
Elgin Baylor,,,,,,,,,,,,,331,632,1089,1591,2015,2136,2136,2511,2582,3010,3287,3623,3623,3623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilt Chamberlain,,,,,,,,,,,,,,299,410,830,830,1246,1568,1708,2034,2342,2592,2990,3210,3430,3607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin McHale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,339,417,757,1222,1670,2114,2546,2603,2713,2941,3106,3182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,665,748,908,908,908,1419,1713,2164,2351,2728,2843,3007,3153,3159,3180,,,,,,,,,
Kawhi Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,405,733,875,1100,1432,1432,2164,2531,2865,2865,2934,2958,3133,3133
Dennis Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,710,967,1104,1260,1314,1679,2043,2334,2769,3039,3047,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julius Erving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,736,965,1405,1772,2233,2472,2563,2785,2997,3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,488,925,1078,1693,2236,2711,2936,3076
Manu Ginobili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,356,835,1074,1407,1710,1710,1904,2007,2208,2450,2780,2836,2903,3009,3054,,,,,,,,
