"Player",1994,1995,1996,1997,1999,2001,2002,2003,2007,2008,2009,2010,2011,2012,2019,2020,2024,2025,2026
"Dwight Howard",,,,,,,,,61,250,717,971,1133,1133,1133,1133,1133,1133,1133
"Anfernee Hardaway",56,468,748,903,979,979,979,979,979,979,979,979,979,979,979,979,979,979,979
"Shaquille O'Neal",62,601,911,911,911,911,911,911,911,911,911,911,911,911,911,911,911,911,911
"Rashard Lewis",,,,,,,,,,195,650,830,830,830,830,830,830,830,830
"Hidayet Turkoglu",,,,,,,,,55,230,608,608,663,705,705,705,705,705,705
"Jameer Nelson",,,,,,,,,57,219,238,504,583,661,661,661,661,661,661
"Nick Anderson",43,341,497,525,608,608,608,608,608,608,608,608,608,608,608,608,608,608,608
"Dennis Scott",43,351,487,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502,502
"Tracy McGrady",,,,,,135,258,480,480,480,480,480,480,480,480,480,480,480,480
"Horace Grant",,287,422,422,449,449,467,467,467,467,467,467,467,467,467,467,467,467,467
"Mickael Pietrus",,,,,,,,,,,252,370,370,370,370,370,370,370,370
"Paolo Banchero",,,,,,,,,,,,,,,,,189,336,518
"JJ Redick",,,,,,,,,3,3,99,204,244,298,298,298,298,298,298
"Darrell Armstrong",,,,57,116,169,230,296,296,296,296,296,296,296,296,296,296,296,296
"Rafer Alston",,,,,,,,,,,281,281,281,281,281,281,281,281,281
"Franz Wagner",,,,,,,,,,,,,,,,,132,261,280
"Vince Carter",,,,,,,,,,,,217,217,217,217,217,217,217,217
"Nikola Vucevic",,,,,,,,,,,,,,,56,196,196,196,196
"Brian Shaw",,138,185,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
"Courtney Lee",,,,,,,,,,,169,169,169,169,169,169,169,169,169
"Terrence Ross",,,,,,,,,,,,,,,66,148,148,148,148
"DJ Augustin",,,,,,,,,,,,,,,64,130,130,130,130
"Marcin Gortat",,,,,,,,,,10,88,130,130,130,130,130,130,130,130
"Evan Fournier",,,,,,,,,,,,,,,62,126,126,126,126
"Wendell Carter Jr",,,,,,,,,,,,,,,,,53,104,121
"Jalen Suggs",,,,,,,,,,,,,,,,,103,103,119
"Pat Garrity",,,,,,48,82,110,110,111,111,111,111,111,111,111,111,111,111
"Jason Richardson",,,,,,,,,,,,,50,107,107,107,107,107,107
"Markelle Fultz",,,,,,,,,,,,,,,,60,105,105,105
"Ryan Anderson",,,,,,,,,,,,23,51,99,99,99,99,99,99
"Drew Gooden",,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98
"Glen Davis",,,,,,,,,,,,,,95,95,95,95,95,95
"Keyon Dooling",,,,,,,,,29,95,95,95,95,95,95,95,95,95,95
"Jonathan Isaac",,,,,,,,,,,,,,,33,33,77,95,95
"Maurice Evans",,,,,,,,,,90,90,90,90,90,90,90,90,90,90
"Matt Barnes",,,,,,,,,,,,89,89,89,89,89,89,89,89
"Anthony Bowie",0,55,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
"Anthony Johnson",,,,,,,,,,,82,84,84,84,84,84,84,84,84
"Donald Royal",21,58,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
"Desmond Bane",,,,,,,,,,,,,,,,,,61,78
"Aaron Gordon",,,,,,,,,,,,,,,76,76,76,76,76
"Keith Bogans",,,,,,,,,,73,73,73,73,73,73,73,73,73,73
"Troy Hudson",,,,,,17,68,68,68,68,68,68,68,68,68,68,68,68,68
"Mike Miller",,,,,,48,67,67,67,67,67,67,67,67,67,67,67,67,67
"Gordan Giricek",,,,,,,,66,66,66,66,66,66,66,66,66,66,66,66
"Derek Strong",,,,61,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
"Brandon Bass",,,,,,,,,,,,19,63,63,63,63,63,63,63
"Grant Hill",,,,,,,,,60,60,60,60,60,60,60,60,60,60,60
"Tony Battie",,,,,,,,,15,15,60,60,60,60,60,60,60,60,60
"Anthony Black",,,,,,,,,,,,,,,,,6,47,54
"Bo Outlaw",,,,,18,52,52,52,52,52,52,52,52,52,52,52,52,52,52
"Khem Birch",,,,,,,,,,,,,,,26,50,50,50,50
"Darko Milicic",,,,,,,,,49,49,49,49,49,49,49,49,49,49,49
"Jeff Turner",,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49
