Player,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024,2025,2026
LeBron James,,,400,901,1267,1761,2081,2578,3275,3871,4419,5020,5572,6163,6911,6911,7491,7631,8023,8162,8289,8336
Dwyane Wade,234,618,1272,1366,1366,1570,1736,2251,2776,3125,3481,3481,3781,3871,3954,3954,3954,3954,3954,3954,3954,3954
Carmelo Anthony,60,156,261,395,485,920,1104,1208,1347,1693,1693,1693,1693,1693,1764,1764,1840,1914,1914,1914,1914,1914
Chris Bosh,,,,105,225,225,225,615,811,1090,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388,1388
David West,41,41,41,41,295,385,385,385,553,855,1142,1142,1200,1276,1335,1335,1335,1335,1335,1335,1335,1335
Kyle Korver,,25,25,25,119,172,255,360,383,444,538,694,797,902,1084,1094,1156,1156,1156,1156,1156,1156
Boris Diaw,,,374,440,513,513,543,543,630,695,906,987,1034,1097,1097,1097,1097,1097,1097,1097,1097,1097
Josh Howard,27,228,612,740,803,961,961,961,976,976,976,976,976,976,976,976,976,976,976,976,976,976
Leandro Barbosa,,30,313,487,539,539,654,654,717,717,717,821,950,950,950,950,950,950,950,950,950,950
Udonis Haslem,47,185,374,404,404,463,493,556,662,772,812,812,833,833,833,833,833,833,833,833,833,833
Kirk Hinrich,,127,250,371,371,459,521,582,616,661,716,742,747,747,747,747,747,747,747,747,747,747
Kendrick Perkins,,9,9,9,173,339,470,547,641,665,725,735,735,735,735,735,735,735,735,735,735,735
Maurice Williams,,,36,36,36,264,422,422,528,528,587,587,607,607,607,607,607,607,607,607,607,607
James Jones,,52,138,193,193,260,262,340,391,400,453,540,546,548,548,548,548,548,548,548,548,548
Mickael Pietrus,,,,66,66,318,436,436,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Luis Scola,,,,,84,271,271,271,271,271,381,381,409,409,409,409,409,409,409,409,409,409
Zaza Pachulia,,,,,29,105,156,195,195,195,195,235,268,345,362,367,367,367,367,367,367,367
Sasha Vujacic,,,42,53,224,293,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
Matt Bonner,,,,7,11,26,76,114,145,226,253,259,259,259,259,259,259,259,259,259,259,259
Steve Blake,,2,2,38,38,97,97,117,192,220,231,238,242,242,242,242,242,242,242,242,242,242
Aleksandar Pavlovic,,,0,183,211,234,234,234,241,241,241,241,241,241,241,241,241,241,241,241,241,241
Dahntay Jones,,22,39,39,39,151,151,177,194,198,198,202,219,235,235,235,235,235,235,235,235,235
TJ Ford,,,63,159,217,217,217,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
Carlos Delfino,,,5,42,85,85,155,155,155,200,200,200,200,200,200,200,200,200,200,200,200,200
Luke Ridnour,,107,107,107,107,107,164,164,164,164,174,174,174,174,174,174,174,174,174,174,174,174
Chris Kaman,,,118,118,118,118,118,118,118,118,118,127,141,141,141,141,141,141,141,141,141,141
Brian Cook,12,12,56,74,74,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
Jarvis Hayes,,,15,58,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81
Mike Sweetney,16,16,59,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
Darko Milicic,1,6,6,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Travis Outlaw,,,,,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
