Player,Season_1,Season_2,Season_3,Season_4,Season_5,Season_6,Season_7,Season_8,Season_9,Season_10,Season_11,Season_12,Season_13,Season_14,Season_15,Season_16,Season_17,Season_18,Season_19,Season_20,Season_21,Season_22,Season_23,Season_24,Season_25
LeBron James,0,0,400,901,1267,1761,2081,2578,3275,3871,4419,5020,5572,6163,6911,6911,7491,7631,7631,8023,8162,8289,8289,8289,8289
Michael Jordan,117,248,355,718,1309,1896,2425,3184,3850,3850,4165,4717,5307,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987
Kareem Abdul-Jabbar,352,724,1040,1177,1692,1692,1692,2073,2154,2382,2861,2941,3226,3632,4134,4550,4912,5257,5595,5762,5762,5762,5762,5762,5762
Kobe Bryant,74,170,328,793,1264,1770,2155,2694,2694,2889,3053,3686,4381,5052,5280,5640,5640,5640,5640,5640,5640,5640,5640,5640,5640
Shaquille O'Neal,0,62,601,911,1153,1549,1762,2469,2956,3497,3821,4294,4546,4970,5045,5121,5121,5248,5250,5250,5250,5250,5250,5250,5250
Tim Duncan,186,581,581,898,1146,1739,1960,2502,2838,3282,3625,3724,3914,3990,4233,4614,4988,5113,5172,5172,5172,5172,5172,5172,5172
Kevin Durant,0,0,150,637,1207,1546,2109,2109,2620,3048,3656,4043,4043,4454,4559,4878,4985,4985,4985,4985,4985,4985,4985,4985,4985
Karl Malone,87,187,514,606,732,999,1464,1584,2018,2169,2646,3165,3691,3931,4203,4341,4421,4519,4761,4761,4761,4761,4761,4761,4761
Jerry West,275,684,1046,1202,1649,2128,2128,2590,3146,3708,3708,4052,4453,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457
Stephen Curry,0,0,0,281,442,1036,1488,1965,2348,2968,2968,2968,3570,3966,3966,4147,4147,4147,4147,4147,4147,4147,4147,4147,4147
Tony Parker,155,507,691,1087,1361,1776,2157,2300,2473,2591,2873,3305,3705,3781,3885,4012,4045,4045,4045,4045,4045,4045,4045,4045,4045
Dwyane Wade,234,618,1272,1366,1366,1570,1736,2251,2776,3125,3481,3481,3781,3871,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954,3954
Larry Bird,192,565,779,902,1534,2054,2520,3142,3559,3559,3681,3852,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897,3897
James Harden,46,267,593,751,912,1374,1507,1820,2306,2654,3009,3191,3414,3637,3764,3895,3895,3895,3895,3895,3895,3895,3895,3895,3895
John Havlicek,130,287,509,910,1157,1650,2108,2108,2108,2409,2694,3181,3413,3611,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776,3776
Hakeem Olajuwon,106,643,935,1085,1186,1260,1326,1326,1634,2298,3023,3202,3572,3674,3727,3727,3727,3755,3755,3755,3755,3755,3755,3755,3755
Magic Johnson,293,344,587,855,1237,1570,1872,2264,2741,2999,3226,3640,3640,3640,3640,3640,3701,3701,3701,3701,3701,3701,3701,3701,3701
Dirk Nowitzki,0,0,234,461,891,1024,1332,1952,2070,2204,2472,2632,3214,3321,3321,3455,3561,3663,3663,3663,3663,3663,3663,3663,3663
Scottie Pippen,100,322,611,979,1407,1788,2016,2194,2499,2864,3217,3290,3529,3570,3619,3642,3642,3642,3642,3642,3642,3642,3642,3642,3642
Elgin Baylor,331,632,1089,1591,2015,2136,2136,2511,2582,3010,3287,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623
Wilt Chamberlain,299,410,830,830,1246,1568,1708,2034,2342,2592,2990,3210,3430,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607,3607
Kevin McHale,145,339,417,757,1222,1670,2114,2546,2603,2713,2941,3106,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182,3182
Paul Pierce,0,0,0,394,665,748,908,908,908,1419,1713,2164,2351,2728,2843,3007,3153,3159,3180,3180,3180,3180,3180,3180,3180
Kawhi Leonard,121,405,733,875,1100,1432,1432,2164,2531,2865,2865,2934,2958,3133,3133,3133,3133,3133,3133,3133,3133,3133,3133,3133,3133
Dennis Johnson,0,354,710,967,1104,1260,1314,1679,2043,2334,2769,3039,3047,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116,3116
Julius Erving,518,736,965,1405,1772,2233,2472,2563,2785,2997,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088
Manu Ginobili,226,356,835,1074,1407,1710,1710,1904,2007,2208,2450,2780,2836,2903,3009,3054,3054,3054,3054,3054,3054,3054,3054,3054,3054
Russell Westbrook,0,123,528,989,1037,1544,1544,2012,2199,2375,2489,2632,2727,2727,2845,2883,3035,3035,3035,3035,3035,3035,3035,3035,3035
Klay Thompson,0,182,297,688,1270,1525,1937,2372,2372,2372,2791,3032,3032,3032,3032,3032,3032,3032,3032,3032,3032,3032,3032,3032,3032
James Worthy,0,371,779,1053,1478,1984,2356,2574,2953,2953,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022
Chris Paul,0,0,289,372,372,504,698,835,1092,1357,1452,1629,1946,2133,2282,2666,2894,2981,2981,2981,2981,2981,2981,2981,2981
Reggie Miller,0,0,62,170,251,377,748,1182,1211,1211,1530,1793,2320,2445,2563,2618,2779,2972,2972,2972,2972,2972,2972,2972,2972
Clyde Drexler,36,186,258,354,442,525,974,1321,1874,1931,2015,2465,2598,2888,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963,2963
Jayson Tatum,351,488,925,1078,1693,2236,2711,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936,2936
Sam Jones,31,144,251,382,670,979,1211,1554,1976,2216,2606,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909,2909
Charles Barkley,194,494,617,617,698,945,1144,1144,1782,2058,2315,2417,2703,2739,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833,2833
Robert Parish,121,121,121,121,376,631,734,1076,1435,1705,2082,2332,2379,2458,2616,2736,2804,2804,2818,2818,2820,2820,2820,2820,2820
Patrick Ewing,0,0,75,254,548,598,870,1252,1799,2008,2180,2383,2439,2583,2787,2787,2813,2813,2813,2813,2813,2813,2813,2813,2813
Ray Allen,0,0,67,177,629,629,629,629,920,920,920,1325,1581,1968,2138,2330,2564,2749,2749,2749,2749,2749,2749,2749,2749
Jimmy Butler,0,160,228,503,503,639,718,951,1418,1476,1942,2534,2534,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745,2745
Bill Russell,139,275,446,687,878,1192,1456,1587,1785,2109,2204,2478,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673,2673
Jaylen Brown,85,409,534,904,904,1458,1911,2365,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608
Kevin Garnett,0,52,131,218,293,377,449,611,1049,1049,1049,1049,1579,1579,1924,2058,2442,2518,2601,2601,2601,2601,2601,2601,2601
Nikola Jokic,0,0,0,352,816,1114,1269,1869,2213,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580
Richard Hamilton,0,0,0,383,877,1378,1745,2046,2414,2467,2467,2467,2545,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571
Chauncey Billups,0,0,0,3,69,321,699,1166,1489,1786,2027,2357,2479,2489,2489,2526,2526,2526,2526,2526,2526,2526,2526,2526,2526
Byron Scott,171,492,716,982,1452,1671,1792,2029,2104,2172,2297,2400,2400,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451,2451
John Stockton,68,95,145,360,442,517,681,918,984,1215,1304,1503,1825,2047,2169,2281,2330,2380,2436,2436,2436,2436,2436,2436,2436
Paul George,30,137,502,931,931,1122,1234,1382,1525,1788,2299,2299,2299,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416,2416
Rasheed Wallace,0,79,137,330,616,666,742,864,1163,1504,1757,1986,2211,2237,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384,2384
Al Horford,88,150,311,447,493,593,593,824,958,1229,1528,1653,1681,1681,1958,2091,2265,2353,2353,2353,2353,2353,2353,2353,2353
Giannis Antetokounmpo,0,69,69,218,398,781,1021,1655,2035,2105,2105,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270
Isiah Thomas,0,0,107,326,432,793,1297,1606,2015,2191,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
Bob Pettit,0,153,451,717,884,1249,1592,1592,1942,2194,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240,2240
David Robinson,243,346,346,577,657,1037,1273,1273,1448,1713,1807,2023,2041,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221,2221
Kyrie Irving,0,0,0,247,777,1243,1243,1435,1435,1639,1724,1724,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211,2211
Elvin Hayes,155,155,155,155,284,465,899,1039,1228,1685,2112,2152,2152,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194,2194
Gary Payton,24,85,319,398,469,903,1188,1428,1428,1557,1557,1668,1779,1950,2022,2155,2155,2155,2155,2155,2155,2155,2155,2155,2155
Derek Fisher,8,86,164,263,478,671,824,990,990,990,1142,1357,1533,1770,1852,1977,2073,2146,2146,2146,2146,2146,2146,2146,2146
Allen Iverson,0,0,228,490,1213,1363,1743,1743,1899,1899,2013,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111,2111
Pau Gasol,0,0,74,159,240,240,594,1014,1464,1595,1745,1801,1801,1945,1945,2068,2098,2098,2098,2098,2098,2098,2098,2098,2098
Jeff Hornacek,0,0,169,467,540,703,703,950,1020,1335,1626,1843,1977,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092,2092
Moses Malone,225,225,274,455,1017,1089,1427,1534,1796,1796,1858,1951,2056,2056,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077,2077
Steve Nash,5,27,27,27,163,319,641,709,1067,1474,1682,1763,1763,2047,2047,2047,2072,2072,2072,2072,2072,2072,2072,2072,2072
Tommy Heinsohn,229,421,640,924,1121,1411,1732,1906,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058,2058
Jason Kidd,0,0,60,117,162,221,278,669,1071,1210,1279,1411,1586,1629,1743,1791,1986,2032,2043,2043,2043,2043,2043,2043,2043
Kevin Johnson,0,285,625,676,865,1275,1541,1789,1858,1942,1997,1997,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026
Bob Cousy,28,121,274,400,552,631,833,1031,1245,1444,1611,1835,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Bob Dandridge,163,432,669,752,1060,1060,1126,1126,1528,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967,1967
Robert Horry,123,392,680,785,845,957,997,1172,1266,1442,1509,1570,1784,1839,1916,1939,1939,1939,1939,1939,1939,1939,1939,1939,1939
Draymond Green,70,153,441,796,1018,1244,1536,1536,1536,1712,1825,1825,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934,1934
Gus Williams,74,162,565,1019,1374,1374,1584,1649,1766,1838,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929,1929
Walt Frazier,38,250,554,825,1213,1586,1856,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927
Chet Walker,76,170,393,466,792,1040,1094,1191,1296,1341,1458,1688,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916,1916
Carmelo Anthony,60,156,261,395,485,920,1104,1208,1347,1693,1693,1693,1693,1693,1764,1764,1840,1914,1914,1914,1914,1914,1914,1914,1914
Oscar Robertson,0,115,496,789,901,1060,1159,1159,1159,1159,1415,1559,1686,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
Maurice Cheeks,169,377,545,846,1058,1141,1339,1589,1677,1677,1730,1858,1888,1888,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910,1910
Dwight Howard,0,0,61,250,717,971,1133,1133,1201,1357,1635,1701,1749,1749,1749,1853,1909,1909,1909,1909,1909,1909,1909,1909,1909
Horace Grant,101,285,480,706,955,1158,1320,1607,1742,1742,1742,1769,1793,1889,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907,1907
Danny Ainge,50,116,207,438,718,1013,1211,1211,1211,1339,1561,1756,1842,1902,1902,1902,1902,1902,1902,1902,1902,1902,1902,1902,1902
Dolph Schayes,188,331,473,491,699,908,1085,1192,1272,1526,1614,1779,1836,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
Hal Greer,104,151,266,266,383,490,761,843,1259,1594,1674,1751,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
Jamal Murray,0,0,298,802,802,802,1324,1571,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
Sam Perkins,75,224,292,522,522,567,903,903,1177,1226,1280,1538,1639,1693,1746,1856,1861,1861,1861,1861,1861,1861,1861,1861,1861
Kyle Lowry,0,0,69,69,69,69,69,217,266,648,774,948,1309,1504,1504,1582,1794,1836,1836,1836,1836,1836,1836,1836,1836
Cliff Hagan,170,475,646,985,1249,1249,1452,1647,1721,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834,1834
Rick Barry,0,521,521,521,521,521,521,701,701,1180,1492,1776,1776,1800,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833
Terry Porter,27,95,163,229,662,951,1401,1467,1508,1527,1527,1543,1622,1667,1687,1795,1828,1828,1828,1828,1828,1828,1828,1828,1828
Joe Johnson,0,32,32,201,201,201,341,521,718,944,1047,1151,1405,1504,1674,1816,1828,1828,1828,1828,1828,1828,1828,1828,1828
Jamaal Wilkes,255,462,617,653,800,1124,1178,1458,1757,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
Donovan Mitchell,268,375,629,952,1105,1221,1517,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783,1783
Joe Dumars,60,250,534,834,1198,1507,1591,1591,1591,1591,1632,1701,1701,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752
Jason Terry,0,0,0,0,0,227,643,745,824,967,1043,1411,1466,1538,1538,1694,1729,1744,1750,1750,1750,1750,1750,1750,1750
Mark Aguirre,0,0,220,336,583,668,1035,1249,1468,1702,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747,1747
Jo Jo White,0,0,258,577,875,1102,1510,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720
Bob McAdoo,0,190,452,704,704,847,847,847,847,1081,1168,1447,1664,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718,1718
Damian Lillard,0,252,360,651,762,836,1266,1363,1569,1569,1569,1694,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
Jalen Brunson,0,0,56,444,750,1171,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701,1701
Luka Doncic,0,186,436,911,911,1546,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697,1697
Dave Cowens,0,170,455,824,1049,1427,1576,1576,1576,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
Pascal Siakam,0,66,521,708,708,845,845,1212,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684,1684
George Mikan,303,679,847,1154,1392,1644,1644,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
Rajon Rondo,0,266,502,881,1007,1336,1336,1336,1355,1355,1378,1471,1471,1614,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
Terry Cummings,0,0,220,523,790,919,983,1232,1291,1369,1436,1468,1526,1526,1632,1664,1664,1664,1664,1664,1664,1664,1664,1664,1664
Tom Chambers,0,0,68,68,68,390,519,831,1186,1254,1363,1537,1630,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662
