"Player",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1989,1990,1991,1999,2000,2001,2002,2003,2005,2008,2009,2011,2012,2018,2019,2020,2021,2022,2023,2024,2026
"Julius Erving",,,,,,,,,,,,,,,,,,,,,,,,518,736,965,1405,1772,2233,2472,2563,2785,2997,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088,3088
"Allen Iverson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,490,1213,1363,1743,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899
"Dolph Schayes",188,331,473,491,699,908,1085,1192,1272,1526,1614,1779,1836,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887,1887
"Hal Greer",,,,,,,,,,104,151,266,266,383,490,761,843,1259,1594,1674,1751,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876,1876
"Maurice Cheeks",,,,,,,,,,,,,,,,,,,,,,,,,,169,377,545,846,1058,1141,1339,1589,1677,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730,1730
"Joel Embiid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,393,513,822,1058,1271,1469,1495
"Andrew Toney",,,,,,,,,,,,,,,,,,,,,,,,,,,,221,678,904,1007,1226,1226,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
"Bobby Jones",,,,,,,,,,,,,,,,,,,,,,,,,,118,351,586,842,945,993,1099,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215
"Charles Barkley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,494,617,698,945,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144,1144
