Player,1949,1950,1951,1952,1953,1954,1955,1956,1957,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2006,2007,2008,2009,2010,2011,2012,2013,2020,2021,2023,2024,2025,2026
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,170,328,793,1264,1770,2155,2694,2889,3053,3686,4381,5052,5280,5640,5640,5640,5640,5640,5640,5640,5640
Jerry West,,,,,,,,,,,,275,684,1046,1202,1649,2128,2128,2590,3146,3708,3708,4052,4453,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457,4457
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,,,381,462,690,1169,1249,1534,1940,2442,2858,3220,3565,3903,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070
Magic Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293,344,587,855,1237,1570,1872,2264,2741,2999,3226,3640,3640,3640,3640,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701,3701
Elgin Baylor,,,,,,,,,,331,632,1089,1591,2015,2136,2136,2511,2582,3010,3287,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623,3623
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,638,851,1558,2045,2586,2910,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383,3383
James Worthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,779,1053,1478,1984,2356,2574,2953,2953,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022,3022
Byron Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,492,716,982,1452,1671,1792,2029,2104,2172,2172,2172,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223,2223
Derek Fisher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,86,164,263,478,671,824,990,990,990,1205,1381,1618,1700,1700,1700,1700,1700,1700,1700,1700,1700
George Mikan,303,679,847,1154,1392,1644,1644,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
Michael Cooper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,177,343,484,722,920,1056,1290,1443,1558,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
Pau Gasol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,774,1224,1355,1505,1561,1561,1561,1561,1561,1561,1561
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,720,1112,1251,1378,1425
Gail Goodrich,,,,,,,,,,,,,,,,,115,148,208,208,208,513,870,1210,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308
Wilt Chamberlain,,,,,,,,,,,,,,,,,,,,250,648,868,1088,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265
