Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.769,27.303,27.543,29.35,29.31,28.022,28.478,28.051,27.968,28.202,28.0,28.401,28.916,28.916,28.812,28.688,28.688,28.45,28.439,28.387
Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.25,35.429,35.5,35.9,35.378,35.774,34.643,34.609,34.685,34.685,34.421,33.935,33.589,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447,33.447
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,35.2,30.167,29.714,28.707,29.684,29.684,29.684,30.485,30.338,30.152,30.436,30.32,29.063,28.825,28.122,27.41,27.289,26.551,25.203,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312,24.312
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.222,8.5,11.714,15.86,19.152,20.824,22.216,22.639,22.639,22.929,23.305,24.25,25.034,25.515,25.385,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636,25.636
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.667,25.042,25.306,25.622,26.707,26.697,27.742,28.152,28.202,28.096,27.177,26.585,25.619,25.48,25.227,25.227,24.523,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306,24.306
Tim Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.667,22.346,22.346,23.026,23.875,24.153,23.902,23.829,24.051,23.783,23.387,23.275,23.024,22.67,22.279,21.867,21.316,21.216,20.606,20.606,20.606,20.606,20.606,20.606,20.606,20.606,20.606,20.606
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,27.696,28.07,28.63,28.89,28.89,28.791,28.755,28.787,29.086,29.086,29.497,29.413,29.386,29.324,29.324
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75,20.778,25.7,26.348,26.143,27.0,27.623,27.31,27.27,27.456,27.278,27.051,26.942,26.561,26.601,26.632,26.473,26.273,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668,24.668
Jerry West,,,,,,,,,,,,,,,22.917,27.36,27.526,27.953,30.537,31.294,30.841,30.833,30.843,30.9,30.9,30.015,29.296,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131,29.131
Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.417,23.263,25.9,25.655,26.2,26.089,26.5,26.5,26.5,26.642,26.98,26.98,26.755
Tony Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,14.912,15.705,16.224,17.012,17.76,18.436,18.852,18.735,18.775,18.901,19.104,18.903,18.626,18.239,18.154,17.898,17.898,17.898,17.898,17.898,17.898,17.898,17.898
Dwyane Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,22.889,25.44,25.296,25.296,25.738,26.303,25.874,25.236,23.674,22.901,22.901,22.777,22.506,22.339,22.339,22.339,22.339,22.339,22.339,22.339,22.339
Larry Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.333,21.731,20.5,20.5,22.896,23.609,24.0,24.547,24.545,24.545,24.54,24.075,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762,23.762
James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.667,11.609,13.791,15.327,16.582,19.083,19.571,20.682,21.962,22.879,23.508,23.292,22.913,22.731,22.675,22.514
John Havlicek,,,,,,,,,,,,,,,,,11.818,13.667,15.424,18.2,19.61,21.154,21.958,21.958,21.958,22.514,22.639,23.219,23.061,22.153,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953,21.953
Hakeem Olajuwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,25.72,26.714,27.821,27.581,26.809,26.52,26.52,26.355,27.035,28.252,27.843,27.267,27.015,26.621,26.621,26.621,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897,25.897
Magic Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.312,18.105,17.788,17.812,17.928,17.841,18.353,18.867,19.035,18.981,19.317,19.57,19.57,19.57,19.57,19.57,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479,19.479
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,25.611,25.457,25.6,25.132,25.684,25.244,25.333,25.485,25.553,25.919,25.945,25.945,25.593,25.436,25.262,25.262,25.262,25.262,25.262,25.262,25.262,25.262,25.262,25.262
Scottie Pippen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,11.926,14.548,16.593,17.37,17.88,18.327,18.283,18.109,18.242,18.073,18.077,17.823,17.761,17.74,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51,17.51
Elgin Baylor,,,,,,,,,,,,,25.462,28.727,32.029,33.851,33.583,32.862,32.364,31.387,31.108,30.714,28.336,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037,27.037
Wilt Chamberlain,,,,,,,,,,,,,,33.222,34.167,34.583,34.583,34.611,33.362,32.846,30.358,29.275,26.449,25.776,25.078,23.986,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544,22.544
Kevin McHale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.529,11.69,11.583,12.831,15.275,17.041,17.765,18.721,18.727,18.84,18.974,18.824,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828,18.828
Paul Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.625,25.577,24.933,24.541,24.541,24.541,22.524,22.247,21.426,21.373,20.985,20.904,20.318,19.956,19.38,18.706,18.706,18.706,18.706,18.706,18.706,18.706,18.706,18.706
