Player,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1968,1974,1975,1976,1977,1984,1985,1986,1987,1988,1989,1990,1991,1992,1996,1997,1999,2000,2002,2003,2004,2005,2006,2007,2008,2009,2016,2019,2025,2026
Richard Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383,877,1378,1745,2046,2414,2467,2467,2467,2467,2467
Isiah Thomas,,,,,,,,,,,,,,,,,,,,107,326,432,793,1297,1606,2015,2191,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261,2261
Chauncey Billups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252,630,1097,1420,1717,1958,1958,1958,1958,1958,1958
Joe Dumars,,,,,,,,,,,,,,,,,,,,,,60,250,534,834,1198,1507,1591,1632,1701,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752,1752
Tayshaun Prince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,369,705,1001,1226,1461,1476,1476,1476,1476,1476
Rasheed Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,640,893,1122,1347,1373,1373,1373,1373,1373
Vinnie Johnson,,,,,,,,,,,,,,,,,,,,51,179,230,451,687,926,1132,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
Bill Laimbeer,,,,,,,,,,,,,,,,,,,,76,208,298,482,755,927,1149,1313,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354,1354
Ben Wallace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,224,460,711,795,795,795,795,795,795,795,795
John Salley,,,,,,,,,,,,,,,,,,,,,,,93,254,406,596,708,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771,771
Adrian Dantley,,,,,,,,,,,,,,,,,,,,,,,308,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754,754
Mark Aguirre,,,,,,,,,,,,,,,,,,,,,,,,,214,433,667,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
James Edwards,,,,,,,,,,,,,,,,,,,,,,,,139,259,545,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705,705
George Yardley,,,,,42,216,446,503,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667,667
Larry Foust,,36,66,219,260,432,600,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
Antonio McDyess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,338,431,582,634,634,634,634,634
Dennis Rodman,,,,,,,,,,,,,,,,,,,,,,,98,262,360,486,580,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616,616
Bob Lanier,,,,,,,,,,,,,,,,184,245,480,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564
Gene Shue,,,,,,,,32,162,245,293,386,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547,547
Lindsey Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,81,117,142,142,142,198,294,370,393,414,414,414,414,414,414
Walter Dukes,,,,,,,,,111,154,202,252,376,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379
Corliss Williamson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,250,376,376,376,376,376,376,376,376,376,376
Bailey Howell,,,,,,,,,,,34,90,290,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361,361
Kelly Tripucka,,,,,,,,,,,,,,,,,,,,137,270,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357,357
Dave Bing,,,,,,,,,,,,,,,169,301,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349,349
Rick Mahorn,,,,,,,,,,,,,,,,,,,,,,12,158,233,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330,330
Mel Hutchins,,,,,42,200,293,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316,316
Don Ohl,,,,,,,,,,,,63,227,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
Jerry Stackhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,124,300,300,300,300,300,300,300,300,300,300,300,300
Frankie Brian,,,17,62,103,230,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
Grant Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,175,272,294,294,294,294,294,294,294,294,294,294,294,294,294
Clifford Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,290,290,290,290,290,290,290,290,290,290,290
