Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608,1473,2080,2839,3384,4240,5349,6349,7180,8230,9218,10172,11371,11371,12405,12647,12647,13336,13570,13789,13876
Michael Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,367,526,1042,1937,2807,3649,4732,5696,5696,6158,6912,7790,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695,8695
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,561,1206,1778,2029,2934,2934,2934,3612,3759,4167,4948,5101,5615,6250,7072,7777,8310,8857,9414,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675,9675
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,245,520,1244,1965,2713,3236,4049,4049,4335,4554,5466,6469,7451,7765,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253,8253
Shaquille O'Neal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1037,1546,1934,2541,2895,4096,4926,5818,6405,7292,7695,8428,8549,8694,8694,8912,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916,8916
Tim Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312,1008,1008,1611,2079,3262,3656,4607,5159,5972,6668,6832,7172,7345,7797,8484,9150,9395,9531,9531,9531,9531,9531,9531,9531,9531,9531,9531,9531
Kevin Durant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,930,1775,2308,3160,3160,3895,4538,5448,5973,5973,6585,6743,7243,7397,7397,7432
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129,298,792,941,1145,1581,2310,2500,3222,3467,4253,5099,5952,6389,6795,7003,7139,7301,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826,7826
Jerry West,,,,,,,,,,,,,,,442,996,1525,1734,2302,2948,2949,3574,4336,5115,5115,5666,6275,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282,6282
Stephen Curry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,704,1579,2254,2990,3582,4488,4488,4488,5371,5932,5932,6210,6210
Tony Parker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,762,1051,1632,2017,2636,3200,3405,3676,3851,4291,4964,5537,5663,5850,6026,6071,6071,6071,6071,6071,6071,6071,6071,6071
Dwyane Wade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,975,1973,2118,2118,2411,2655,3474,4288,4905,5450,5450,5913,6070,6200,6200,6200,6200,6200,6200,6200,6200,6200
James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,486,1015,1258,1495,2217,2427,2919,3659,4190,4732,5069,5480,5886,6100,6349,6428
Larry Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357,1127,1598,1853,2954,3824,4654,5718,6449,6449,6671,6995,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082,7082
John Havlicek,,,,,,,,,,,,,,,,,200,432,771,1396,1744,2543,3280,3280,3280,3743,4155,4896,5253,5575,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863,5863
Hakeem Olajuwon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,1119,1605,1849,2035,2196,2324,2324,2937,4085,5223,5538,6210,6399,6491,6491,6491,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551,6551
Magic Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667,791,1365,1999,2866,3658,4299,5087,6035,6571,6982,7813,7813,7813,7813,7813,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934,7934
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,720,1420,1639,2160,3154,3373,3595,4012,4248,5079,5221,5221,5434,5608,5747,5747,5747,5747,5747,5747,5747,5747,5747,5747,5747
Scottie Pippen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,649,1179,1858,2692,3366,3754,4100,4728,5340,6018,6170,6631,6706,6806,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853
Elgin Baylor,,,,,,,,,,,,,530,989,1684,2463,3122,3329,3330,3954,4073,4779,5296,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888,5888
