Player,1974,1975,1976,1992,1993,1997,2006,2012,2013,2014,2015,2016,2017,2019,2020,2021,2023,2024,2025
Chris Paul,,,,,,,,194,331,588,853,948,1125,1125,1125,1125,1125,1125,1125
Blake Griffin,,,,,,,,210,289,595,952,1012,1073,1073,1073,1073,1073,1073,1073
Kawhi Leonard,,,,,,,,,,,,,,,367,701,770,794,969
Paul George,,,,,,,,,,,,,,,263,774,774,891,891
Bob McAdoo,190,452,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704,704
Jamal Crawford,,,,,,,,,65,267,445,549,637,637,637,637,637,637,637
DeAndre Jordan,,,,,,,,50,72,197,380,450,558,558,558,558,558,558,558
JJ Redick,,,,,,,,,,173,381,462,526,526,526,526,526,526,526
Ivica Zubac,,,,,,,,,,,,,,20,138,245,291,388,510
Randy Smith,85,211,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414,414
Marcus Morris,,,,,,,,,,,,,,,153,385,411,411,411
Reggie Jackson,,,,,,,,,,,,,,,59,397,397,397,397
Jim McMillian,87,178,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333,333
Elton Brand,,,,,,,305,305,305,305,305,305,305,305,305,305,305,305,305
Matt Barnes,,,,,,,,,71,193,300,300,300,300,300,300,300,300,300
Norman Powell,,,,,,,,,,,,,,,,,109,186,298
Louis Williams,,,,,,,,,,,,,,130,296,296,296,296,296
James Harden,,,,,,,,,,,,,,,,,,127,258
Terance Mann,,,,,,,,,,,,,,,4,148,201,257,257
Montrezl Harrell,,,,,,,,,,,,,,110,246,246,246,246,246
Sam Cassell,,,,,,,216,216,216,216,216,216,216,216,216,216,216,216,216
Nicolas Batum,,,,,,,,,,,,,,,,153,175,175,214
Danny Manning,,,,113,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
Austin Rivers,,,,,,,,,,,117,179,203,203,203,203,203,203,203
Patrick Beverley,,,,,,,,,,,,,,59,109,192,192,192,192
Gar Heard,101,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183,183
Corey Maggette,,,,,,,183,183,183,183,183,183,183,183,183,183,183,183,183
Ron Harper,,,,90,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Cuttino Mobley,,,,,,,159,159,159,159,159,159,159,159,159,159,159,159,159
Russell Westbrook,,,,,,,,,,,,,,,,,118,156,156
Ernie DiGregorio,82,82,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
JaMychal Green,,,,,,,,,,,,,,66,145,145,145,145,145
Caron Butler,,,,,,,,86,137,137,137,137,137,137,137,137,137,137,137
John Shumate,,,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Ken Norman,,,,63,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
Eric Bledsoe,,,,,,,,87,126,126,126,126,126,126,126,126,126,126,126
Danilo Gallinari,,,,,,,,,,,,,,119,119,119,119,119,119
Chris Kaman,,,,,,,118,118,118,118,118,118,118,118,118,118,118,118,118
Landry Shamet,,,,,,,,,,,,,,46,114,114,114,114,114
Kenny Charles,6,58,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111
Darren Collison,,,,,,,,,,110,110,110,110,110,110,110,110,110,110
Maurice Williams,,,,,,,,106,106,106,106,106,106,106,106,106,106,106,106
Vladimir Radmanovic,,,,,,,97,97,97,97,97,97,97,97,97,97,97,97,97
Quinton Ross,,,,,,,92,92,92,92,92,92,92,92,92,92,92,92,92
Nick Young,,,,,,,,91,91,91,91,91,91,91,91,91,91,91,91
Glen Davis,,,,,,,,,,50,91,91,91,91,91,91,91,91,91
Shaun Livingston,,,,,,,90,90,90,90,90,90,90,90,90,90,90,90,90
Jack Marin,51,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
Luke Kennard,,,,,,,,,,,,,,,,84,84,84,84
Randy Foye,,,,,,,,83,83,83,83,83,83,83,83,83,83,83,83
Shai Gilgeous-Alexander,,,,,,,,,,,,,,82,82,82,82,82,82
Loy Vaught,,,,17,33,78,78,78,78,78,78,78,78,78,78,78,78,78,78
Doc Rivers,,,,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
Mark Jackson,,,,,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
Luc Mbah a Moute,,,,,,,,,,,,9,62,62,62,62,62,62,62
Jeff Green,,,,,,,,,,,,61,61,61,61,61,61,61,61
Mason Plumlee,,,,,,,,,,,,,,,,,41,60,60
