Player,1969,1975,1977,1979,1980,1981,1982,1985,1986,1987,1988,1989,1990,1991,1993,1994,1995,1996,1997,1998,1999,2004,2005,2007,2008,2009,2013,2014,2015,2016,2017,2018,2019,2020,2025,2026
Hakeem Olajuwon,,,,,,,,106,643,935,1085,1186,1260,1326,1634,2298,3023,3202,3572,3674,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727,3727
James Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,158,319,781,914,1227,1713,2061,2416,2416,2416
Moses Malone,,,225,274,455,1017,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089,1089
Robert Reid,,,,20,146,485,519,557,855,984,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
Clyde Drexler,,,,,,,,,,,,,,,,,450,583,873,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948
Calvin Murphy,,195,427,453,584,928,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945,945
Eric Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,404,600,808,808,808
Robert Horry,,,,,,,,,,,,,,,123,392,680,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785,785
Kenny Smith,,,,,,,,,,,,,,46,223,471,709,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780,780
Ralph Sampson,,,,,,,,106,505,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691,691
Mario Elie,,,,,,,,,,,,,,,,134,335,413,597,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
Otis Thorpe,,,,,,,,,,,,64,144,191,365,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626,626
Vernon Maxwell,,,,,,,,,,,,,79,135,261,579,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582,582
Yao Ming,,,,,,,,,,,,,,,,,,,,,,75,225,401,401,555,555,555,555,555,555,555,555,555,555,555
Tracy McGrady,,,,,,,,,,,,,,,,,,,,,,,215,392,554,554,554,554,554,554,554,554,554,554,554,554
Sam Cassell,,,,,,,,,,,,,,,,207,450,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
Trevor Ariza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,257,375,524,524,524,524,524
Rudy Tomjanovich,,184,427,447,505,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
Clint Capela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,65,181,397,504,504,504,506
Chris Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317,504,504,504,504
Rodney McCray,,,,,,,,53,312,469,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501
Dwight Howard,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,434,500,500,500,500,500,500,500
Charles Barkley,,,,,,,,,,,,,,,,,,,286,322,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
Allen Leavell,,,,,39,114,156,162,237,378,398,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
PJ Tucker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,276,371,371,371
Lewis Lloyd,,,,,,,,86,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367
Mike Newlin,,130,301,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
