"Player",1977,1978,1979,1982,1983,1984,1985,1986,1987,1988,1989,1990,1994,1995,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2019,2020,2021,2022,2023,2024,2025,2026
"Nikola Jokic",,,,,,,,,,,,,,,,,,,,,,,,,352,816,1114,1269,1869,2213,2580,2735
"Jamal Murray",,,,,,,,,,,,,,,,,,,,,,,,,298,802,802,802,1324,1571,1876,2018
"Alex English",,,,58,239,384,807,1080,1136,1403,1481,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
"Carmelo Anthony",,,,,,,,,,,,,,,60,156,261,395,485,920,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104,1104
"Dan Issel",132,394,467,543,706,843,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029,1029
"Michael Porter",,,,,,,,,,,,,,,,,,,,,,,,,,216,390,390,657,846,974,974
"Aaron Gordon",,,,,,,,,,,,,,,,,,,,,,,,,,,111,180,445,617,844,954
"David Thompson",148,476,560,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595,595
"Fat Lever",,,,,,,146,289,335,454,476,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528,528
"Calvin Natt",,,,,,,334,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513,513
"Mike Evans",,,,,86,109,264,356,374,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
"Nenê",,,,,,,,,,,,,,,39,72,72,148,161,345,402,473,473,473,473,473,473,473,473,473,473,473
"Danny Schayes",,,,,57,85,121,237,267,447,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
"Monte Morris",,,,,,,,,,,,,,,,,,,,,,,,,75,247,384,454,454,454,454,454
"Chauncey Billups",,,,,,,,,,,,,,,,,,,,330,452,452,452,452,452,452,452,452,452,452,452,452
"JR Smith",,,,,,,,,,,,,,,,,,18,91,330,397,446,446,446,446,446,446,446,446,446,446,446
"Paul Millsap",,,,,,,,,,,,,,,,,,,,,,,,,205,357,415,415,415,415,415,415
"Kiki Vandeweghe",,,,68,282,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
"Andre Miller",,,,,,,,,,,,,,,77,158,240,240,240,240,240,240,319,403,403,403,403,403,403,403,403,403
"Kenyon Martin",,,,,,,,,,,,,,,,62,71,71,106,280,340,399,399,399,399,399,399,399,399,399,399,399
"Bill Hanzlik",,,,,54,82,202,246,271,329,367,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
"Ty Lawson",,,,,,,,,,,,,,,,,,,,,47,125,258,386,386,386,386,386,386,386,386,386
"Blair Rasmussen",,,,,,,,111,160,298,298,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345,345
"Christian Braun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,122,299,327
"Kentavious Caldwell-Pope",,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,309,309,309
"Gary Harris",,,,,,,,,,,,,,,,,,,,,,,,,199,303,303,303,303,303,303,303
