,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
"Aaron Gordon",,243,962,1981,3003,4249,5143,5761,6887,,,,,,,,,,,,,,,,
"Adrian Dantley",,,,,2878,4075,5996,8283,10375,11789,13528,15285,17300,19127,20566,21878,23120,23120,23177,23177,23177,23177,23177,23177,23177
"AJ Griffin",,488,488,,,,,,,,,,,,,,,,,,,,,,
"Al Harrington",0,323,676,1535,2186,3214,4373,5621,6989,8188,9431,10862,11864,12488,12961,13067,13237,,,,,,,,
"Al Jefferson",,206,712,1267,2686,4523,5501,6806,7849,9465,10743,12489,13232,13845,14177,14343,14343,14343,14343,14343,14343,14343,14343,14343,14343
"Aleksej Pokusevski",,497,1101,,,,,,,,,,,,,,,,,,,,,,
"Alen Smailagić",,59,,,,,,,,,,,,,,,,,,,,,,,
"Alex English",,,,,,,,,,,,10864,13129,15473,17824,19989,22050,23905,25122,25613,25613,25613,25613,25613,25613
"Allan Houston",,,,,,,,,,,,9978,11545,13390,14314,14551,14551,14551,14551,14551,14551,14551,14551,14551,14551
"Allen Iverson",,,,1787,3545,4829,6818,9025,10908,13170,14436,16738,19115,20824,22988,23983,24368,24368,24368,24368,24368,24368,24368,24368,24368
"Alonzo Mourning",,,,,,,,5463,7091,7912,,10589,11259,12055,12614,,,13379,13968,14311,14311,14311,14311,14311,14311
"Alperen Şengün",,692,1444,1444,,,,,,,,,,,,,,,,,,,,,
"Alvan Adams",,,,1519,2815,3897,5266,6384,7499,8695,9830,10500,11702,12543,13299,13910,13910,13910,13910,13910,13910,13910,13910,13910,13910
"Amar'e Stoudemire",,67,1249,2388,4319,4430,6108,8225,9350,11243,13006,13829,14256,15112,15696,15994,15994,15994,15994,15994,15994,15994,15994,15994,15994
"Amir Johnson",20,67,,,,,,,,,,,,,,,,,,,,,,,
"Andray Blatche",,65,,,,,,,,,,,,,,,,,,,,,,,
"Andre Drummond",,476,1571,2701,4015,5120,6291,7661,8671,9358,9938,10207,,,,,,,,,,,,,
"Andre Iguodala",,,,1244,2514,4008,5522,7088,8172,8897,10025,10792,11325,11997,12363,12923,13316,13456,13629,13931,13958,13958,13958,13958,13958
"Andre Miller",,,,,,,,,,,,,,,,12838,13911,14533,15326,15726,16067,16239,16278,16278,16278
