Player,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
LeBron James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3123,6511,10476,14559,18137,21770,25195,29179,32488,36325,39990,43327,46857,50395,54342,56279,59357,61119,63203,65821,68569,71217,73206
Kareem Abdul-Jabbar,,,,,,,,,,,,,,,,,,,,,,,,3969,7834,11927,15457,19763,22510,25889,29372,31771,35295,39056,42166,45336,48478,51867,55107,58216,61216,64242,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288,66288
Karl Malone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2621,5678,9370,12632,15957,19642,23384,26699,30731,34073,37911,41725,45550,47833,51166,54260,57463,60589,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760,62760
Kobe Bryant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236,3512,5723,9104,12581,16477,20409,23829,26518,30108,33462,37517,41417,45175,48308,51016,54028,54205,55411,57274,57274,57274,57274,57274,57274,57274,57274,57274,57274,57274
Dirk Nowitzki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958,3896,7420,10668,14508,17635,21207,25268,28327,31306,34750,38021,41350,43582,45243,48133,50595,53128,54552,56452,57247,57247,57247,57247,57247,57247,57247,57247
Tim Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578,6274,9149,12849,16558,20759,23689,26761,30036,33497,36813,39499,42309,44677,46774,49587,52497,54973,56727,56727,56727,56727,56727,56727,56727,56727,56727,56727,56727
Jason Kidd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2668,5702,7874,11163,13349,16193,19424,23283,27124,30049,32666,36091,39508,42593,45865,48989,52386,53908,56197,56197,56197,56197,56197,56197,56197,56197,56197,56197,56197,56197,56197,56197
Kevin Garnett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,5413,8829,10779,14193,17560,20865,24452,28466,31587,34543,37538,40852,42623,45448,47995,50596,52830,54188,55140,55695,55695,55695,55695,55695,55695,55695,55695,55695,55695,55695
Wilt Chamberlain,,,,,,,,,,,,,,3753,7670,12128,15934,20181,24018,27995,32395,36862,41363,42719,46903,51075,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418,55418
John Stockton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,3684,5699,9019,12329,15438,18914,22540,25596,29162,32222,35816,39451,41905,43667,46449,49032,51739,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163,54163
Elvin Hayes,,,,,,,,,,,,,,,,,,,,,,,3973,7638,11271,14732,18307,22232,26448,29728,33497,37611,41502,44777,47708,50864,53166,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160,54160
John Havlicek,,,,,,,,,,,,,,,,,2454,5330,7904,10798,13730,17513,21537,24906,28584,32799,36645,40547,44143,47246,50534,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331,53331
Reggie Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,4376,7693,10857,14107,17236,20450,23756,26408,29374,32797,35065,38944,42302,45389,47684,50393,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928,52928
Gary Payton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2378,5148,8301,11363,14550,18623,22382,25955,27963,31609,34853,38361,41820,45417,48196,51060,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594,52594
Ray Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2532,5818,7657,10913,14810,17335,20215,22367,25868,28890,31109,34720,38160,41904,45155,47336,49944,52407,52407,52407,52407,52407,52407,52407,52407,52407,52407,52407,52407,52407
Paul Pierce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1632,4215,7335,11309,14850,18110,21346,24430,26169,30032,33623,36963,40080,42932,45762,48228,50439,51723,52101,52101,52101,52101,52101,52101,52101,52101,52101,52101
Robert Parish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,3592,6003,8122,10912,13872,16580,20316,23969,27127,30856,33794,36746,39312,42049,44669,46961,48948,50371,51457,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881,51881
Chris Paul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808,5160,8651,11854,13566,16695,19298,21856,24499,27801,30346,32527,34890,37144,39612,42494,45080,47218,48767,51059,51286
